case_sample_id,source,case_id,geo_id,pressure_level_id,H_m,lambda,M_m,q_top_MPa,alpha_E_roof,alpha_c_roof,phi_roof_deg,alpha_t_roof,support_pressure_MPa,P_s,dat_file,max_settlement_m,max_heave_m,peak_abutment_stress_MPa,support_pressure_MPa_from_summary,q_top_MPa_from_summary,summary_file,status,qc_flag,meets_control,design_note
stage3_s3_g057_p06,stage3,s3_g057_p06,g057,p06,877.35,1.17125,4.12085,19.0164,1.36955,0.915352,31.0074,0.536925,2,8e+08,s3_g057_p06.dat,0.6005163,0.1941233,65.07271,2,19.0164,summary_s3_g057_p06.tab,done,ok,1,
stage3_s3_g057_p07,stage3,s3_g057_p07,g057,p07,877.35,1.17125,4.12085,19.0164,1.36955,0.915352,31.0074,0.536925,2.3,9.2e+08,s3_g057_p07.dat,0.5630149,0.1935227,65.2084,2.3,19.0164,summary_s3_g057_p07.tab,done,ok,1,
stage3_s3_g057_p08,stage3,s3_g057_p08,g057,p08,877.35,1.17125,4.12085,19.0164,1.36955,0.915352,31.0074,0.536925,2.6,1.04e+09,s3_g057_p08.dat,0.5331934,0.1930689,64.80921,2.6,19.0164,summary_s3_g057_p08.tab,done,ok,1,
stage3_s3_g058_p01,stage3,s3_g058_p01,g058,p01,1114.94,1.21594,5.87855,24.7187,1.06668,0.80785,36.5473,1.0406,0.5,2e+08,s3_g058_p01.dat,62.68274,2.147243,74.66729,0.5,24.7187,summary_s3_g058_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage3_s3_g058_p02,stage3,s3_g058_p02,g058,p02,1114.94,1.21594,5.87855,24.7187,1.06668,0.80785,36.5473,1.0406,0.8,3.2e+08,s3_g058_p02.dat,55.20011,1.96427,71.82935,0.8,24.7187,summary_s3_g058_p02.tab,done,settlement_gt_2m,0,
stage3_s3_g058_p03,stage3,s3_g058_p03,g058,p03,1114.94,1.21594,5.87855,24.7187,1.06668,0.80785,36.5473,1.0406,1.1,4.4e+08,s3_g058_p03.dat,43.55549,1.581617,68.011,1.1,24.7187,summary_s3_g058_p03.tab,done,settlement_gt_2m,0,
stage3_s3_g058_p04,stage3,s3_g058_p04,g058,p04,1114.94,1.21594,5.87855,24.7187,1.06668,0.80785,36.5473,1.0406,1.4,5.6e+08,s3_g058_p04.dat,1.506292,0.271563,70.26075,1.4,24.7187,summary_s3_g058_p04.tab,done,ok,1,
stage3_s3_g058_p05,stage3,s3_g058_p05,g058,p05,1114.94,1.21594,5.87855,24.7187,1.06668,0.80785,36.5473,1.0406,1.7,6.8e+08,s3_g058_p05.dat,1.271198,0.2680875,69.23313,1.7,24.7187,summary_s3_g058_p05.tab,done,ok,1,
stage3_s3_g058_p06,stage3,s3_g058_p06,g058,p06,1114.94,1.21594,5.87855,24.7187,1.06668,0.80785,36.5473,1.0406,2,8e+08,s3_g058_p06.dat,1.157052,0.2652836,69.65968,2,24.7187,summary_s3_g058_p06.tab,done,ok,1,
stage3_s3_g058_p07,stage3,s3_g058_p07,g058,p07,1114.94,1.21594,5.87855,24.7187,1.06668,0.80785,36.5473,1.0406,2.3,9.2e+08,s3_g058_p07.dat,1.061799,0.2618992,69.94908,2.3,24.7187,summary_s3_g058_p07.tab,done,ok,1,
stage3_s3_g058_p08,stage3,s3_g058_p08,g058,p08,1114.94,1.21594,5.87855,24.7187,1.06668,0.80785,36.5473,1.0406,2.6,1.04e+09,s3_g058_p08.dat,0.9998941,0.2619058,69.72482,2.6,24.7187,summary_s3_g058_p08.tab,done,ok,1,
stage3_s3_g059_p01,stage3,s3_g059_p01,g059,p01,1007.23,1.17772,3.41903,22.1334,0.639046,1.18031,35.886,1.16946,0.5,2e+08,s3_g059_p01.dat,0.9950697,0.2642423,78.63986,0.5,22.1334,summary_s3_g059_p01.tab,done,ok,1,
stage3_s3_g059_p02,stage3,s3_g059_p02,g059,p02,1007.23,1.17772,3.41903,22.1334,0.639046,1.18031,35.886,1.16946,0.8,3.2e+08,s3_g059_p02.dat,0.9265419,0.2641538,78.41096,0.8,22.1334,summary_s3_g059_p02.tab,done,ok,1,
stage3_s3_g059_p03,stage3,s3_g059_p03,g059,p03,1007.23,1.17772,3.41903,22.1334,0.639046,1.18031,35.886,1.16946,1.1,4.4e+08,s3_g059_p03.dat,0.8695882,0.2629151,78.19607,1.1,22.1334,summary_s3_g059_p03.tab,done,ok,1,
stage3_s3_g059_p04,stage3,s3_g059_p04,g059,p04,1007.23,1.17772,3.41903,22.1334,0.639046,1.18031,35.886,1.16946,1.4,5.6e+08,s3_g059_p04.dat,0.8167581,0.2607346,78.14604,1.4,22.1334,summary_s3_g059_p04.tab,done,ok,1,
stage3_s3_g059_p05,stage3,s3_g059_p05,g059,p05,1007.23,1.17772,3.41903,22.1334,0.639046,1.18031,35.886,1.16946,1.7,6.8e+08,s3_g059_p05.dat,0.7699089,0.2631758,78.087,1.7,22.1334,summary_s3_g059_p05.tab,done,ok,1,
stage3_s3_g059_p06,stage3,s3_g059_p06,g059,p06,1007.23,1.17772,3.41903,22.1334,0.639046,1.18031,35.886,1.16946,2,8e+08,s3_g059_p06.dat,0.7298062,0.2597925,78.063,2,22.1334,summary_s3_g059_p06.tab,done,ok,1,
stage3_s3_g059_p07,stage3,s3_g059_p07,g059,p07,1007.23,1.17772,3.41903,22.1334,0.639046,1.18031,35.886,1.16946,2.3,9.2e+08,s3_g059_p07.dat,0.6940393,0.2550657,78.07444,2.3,22.1334,summary_s3_g059_p07.tab,done,ok,1,
stage3_s3_g059_p08,stage3,s3_g059_p08,g059,p08,1007.23,1.17772,3.41903,22.1334,0.639046,1.18031,35.886,1.16946,2.6,1.04e+09,s3_g059_p08.dat,0.6642469,0.2534897,78.11852,2.6,22.1334,summary_s3_g059_p08.tab,done,ok,1,
stage3_s3_g060_p01,stage3,s3_g060_p01,g060,p01,1191.72,1.24461,3.37724,26.5613,0.890576,1.22353,33.5774,0.718301,0.5,2e+08,s3_g060_p01.dat,54.27542,1.040364,78.09795,0.5,26.5613,summary_s3_g060_p01.tab,done,settlement_gt_2m,0,
stage3_s3_g060_p02,stage3,s3_g060_p02,g060,p02,1191.72,1.24461,3.37724,26.5613,0.890576,1.22353,33.5774,0.718301,0.8,3.2e+08,s3_g060_p02.dat,1.546813,0.3570362,79.15152,0.8,26.5613,summary_s3_g060_p02.tab,done,ok,1,
stage3_s3_g060_p03,stage3,s3_g060_p03,g060,p03,1191.72,1.24461,3.37724,26.5613,0.890576,1.22353,33.5774,0.718301,1.1,4.4e+08,s3_g060_p03.dat,1.311518,0.355774,78.74803,1.1,26.5613,summary_s3_g060_p03.tab,done,ok,1,
stage3_s3_g060_p04,stage3,s3_g060_p04,g060,p04,1191.72,1.24461,3.37724,26.5613,0.890576,1.22353,33.5774,0.718301,1.4,5.6e+08,s3_g060_p04.dat,1.193562,0.354343,77.67333,1.4,26.5613,summary_s3_g060_p04.tab,done,ok,1,
stage3_s3_g060_p05,stage3,s3_g060_p05,g060,p05,1191.72,1.24461,3.37724,26.5613,0.890576,1.22353,33.5774,0.718301,1.7,6.8e+08,s3_g060_p05.dat,1.083775,0.3545487,77.48792,1.7,26.5613,summary_s3_g060_p05.tab,done,ok,1,
stage3_s3_g060_p06,stage3,s3_g060_p06,g060,p06,1191.72,1.24461,3.37724,26.5613,0.890576,1.22353,33.5774,0.718301,2,8e+08,s3_g060_p06.dat,1.02238,0.3527984,77.36962,2,26.5613,summary_s3_g060_p06.tab,done,ok,1,
stage3_s3_g060_p07,stage3,s3_g060_p07,g060,p07,1191.72,1.24461,3.37724,26.5613,0.890576,1.22353,33.5774,0.718301,2.3,9.2e+08,s3_g060_p07.dat,0.9710358,0.3517213,77.00728,2.3,26.5613,summary_s3_g060_p07.tab,done,ok,1,
stage3_s3_g060_p08,stage3,s3_g060_p08,g060,p08,1191.72,1.24461,3.37724,26.5613,0.890576,1.22353,33.5774,0.718301,2.6,1.04e+09,s3_g060_p08.dat,0.9208886,0.3485414,77.32724,2.6,26.5613,summary_s3_g060_p08.tab,done,ok,1,
stage4_s4_g001_p01,stage4,s4_g001_p01,g001,p01,826.904,1.42227,3.45176,17.8057,0.72574,1.0273,29.4283,1.00465,0.5,2e+08,s4_g001_p01.dat,0.7569781,0.1891701,73.82796,0.5,17.8057,summary_s4_g001_p01.tab,done,ok,1,
stage4_s4_g001_p02,stage4,s4_g001_p02,g001,p02,826.904,1.42227,3.45176,17.8057,0.72574,1.0273,29.4283,1.00465,0.8,3.2e+08,s4_g001_p02.dat,0.7075956,0.1892601,73.76561,0.8,17.8057,summary_s4_g001_p02.tab,done,ok,1,
stage4_s4_g001_p03,stage4,s4_g001_p03,g001,p03,826.904,1.42227,3.45176,17.8057,0.72574,1.0273,29.4283,1.00465,1.1,4.4e+08,s4_g001_p03.dat,0.6686823,0.1896437,73.65112,1.1,17.8057,summary_s4_g001_p03.tab,done,ok,1,
stage4_s4_g001_p04,stage4,s4_g001_p04,g001,p04,826.904,1.42227,3.45176,17.8057,0.72574,1.0273,29.4283,1.00465,1.4,5.6e+08,s4_g001_p04.dat,0.6341865,0.1885016,73.54589,1.4,17.8057,summary_s4_g001_p04.tab,done,ok,1,
stage4_s4_g001_p05,stage4,s4_g001_p05,g001,p05,826.904,1.42227,3.45176,17.8057,0.72574,1.0273,29.4283,1.00465,1.7,6.8e+08,s4_g001_p05.dat,0.6049526,0.1871048,73.45026,1.7,17.8057,summary_s4_g001_p05.tab,done,ok,1,
stage4_s4_g001_p06,stage4,s4_g001_p06,g001,p06,826.904,1.42227,3.45176,17.8057,0.72574,1.0273,29.4283,1.00465,2,8e+08,s4_g001_p06.dat,0.5768775,0.1855666,73.34701,2,17.8057,summary_s4_g001_p06.tab,done,ok,1,
stage4_s4_g001_p07,stage4,s4_g001_p07,g001,p07,826.904,1.42227,3.45176,17.8057,0.72574,1.0273,29.4283,1.00465,2.3,9.2e+08,s4_g001_p07.dat,0.5499582,0.1837287,73.23421,2.3,17.8057,summary_s4_g001_p07.tab,done,ok,1,
stage4_s4_g001_p08,stage4,s4_g001_p08,g001,p08,826.904,1.42227,3.45176,17.8057,0.72574,1.0273,29.4283,1.00465,2.6,1.04e+09,s4_g001_p08.dat,0.5238849,0.1807654,73.09168,2.6,17.8057,summary_s4_g001_p08.tab,done,ok,1,
stage4_s4_g002_p01,stage4,s4_g002_p01,g002,p01,1186.8,1.39543,3.82945,26.4432,0.970223,0.895184,39.5259,1.28244,0.5,2e+08,s4_g002_p01.dat,62.67898,1.32151,80.27018,0.5,26.4432,summary_s4_g002_p01.tab,done,settlement_gt_2m,0,
stage4_s4_g002_p02,stage4,s4_g002_p02,g002,p02,1186.8,1.39543,3.82945,26.4432,0.970223,0.895184,39.5259,1.28244,0.8,3.2e+08,s4_g002_p02.dat,48.07554,0.9928703,72.32941,0.8,26.4432,summary_s4_g002_p02.tab,done,settlement_gt_2m,0,
stage4_s4_g002_p03,stage4,s4_g002_p03,g002,p03,1186.8,1.39543,3.82945,26.4432,0.970223,0.895184,39.5259,1.28244,1.1,4.4e+08,s4_g002_p03.dat,1.524036,0.3312468,74.96661,1.1,26.4432,summary_s4_g002_p03.tab,done,ok,1,
stage4_s4_g002_p04,stage4,s4_g002_p04,g002,p04,1186.8,1.39543,3.82945,26.4432,0.970223,0.895184,39.5259,1.28244,1.4,5.6e+08,s4_g002_p04.dat,1.330128,0.3317487,74.63645,1.4,26.4432,summary_s4_g002_p04.tab,done,ok,1,
stage4_s4_g002_p05,stage4,s4_g002_p05,g002,p05,1186.8,1.39543,3.82945,26.4432,0.970223,0.895184,39.5259,1.28244,1.7,6.8e+08,s4_g002_p05.dat,1.2324,0.3356791,73.43872,1.7,26.4432,summary_s4_g002_p05.tab,done,ok,1,
stage4_s4_g002_p06,stage4,s4_g002_p06,g002,p06,1186.8,1.39543,3.82945,26.4432,0.970223,0.895184,39.5259,1.28244,2,8e+08,s4_g002_p06.dat,1.15528,0.3383936,72.79582,2,26.4432,summary_s4_g002_p06.tab,done,ok,1,
stage4_s4_g002_p07,stage4,s4_g002_p07,g002,p07,1186.8,1.39543,3.82945,26.4432,0.970223,0.895184,39.5259,1.28244,2.3,9.2e+08,s4_g002_p07.dat,1.085407,0.3336332,73.12216,2.3,26.4432,summary_s4_g002_p07.tab,done,ok,1,
stage4_s4_g002_p08,stage4,s4_g002_p08,g002,p08,1186.8,1.39543,3.82945,26.4432,0.970223,0.895184,39.5259,1.28244,2.6,1.04e+09,s4_g002_p08.dat,1.033594,0.3351858,73.07943,2.6,26.4432,summary_s4_g002_p08.tab,done,ok,1,
stage4_s4_g003_p01,stage4,s4_g003_p01,g003,p01,1001.79,0.897283,5.8416,22.003,1.18095,1.05441,27.5362,0.704937,0.5,2e+08,s4_g003_p01.dat,53.25898,1.898725,63.90254,0.5,22.003,summary_s4_g003_p01.tab,done,settlement_gt_2m,0,
stage4_s4_g003_p02,stage4,s4_g003_p02,g003,p02,1001.79,0.897283,5.8416,22.003,1.18095,1.05441,27.5362,0.704937,0.8,3.2e+08,s4_g003_p02.dat,48.32901,1.647516,63.51714,0.8,22.003,summary_s4_g003_p02.tab,done,settlement_gt_2m,0,
stage4_s4_g003_p03,stage4,s4_g003_p03,g003,p03,1001.79,0.897283,5.8416,22.003,1.18095,1.05441,27.5362,0.704937,1.1,4.4e+08,s4_g003_p03.dat,41.86623,1.414019,62.98942,1.1,22.003,summary_s4_g003_p03.tab,done,settlement_gt_2m,0,
stage4_s4_g003_p04,stage4,s4_g003_p04,g003,p04,1001.79,0.897283,5.8416,22.003,1.18095,1.05441,27.5362,0.704937,1.4,5.6e+08,s4_g003_p04.dat,34.32399,1.238066,65.55399,1.4,22.003,summary_s4_g003_p04.tab,done,settlement_gt_2m,0,
stage4_s4_g003_p05,stage4,s4_g003_p05,g003,p05,1001.79,0.897283,5.8416,22.003,1.18095,1.05441,27.5362,0.704937,1.7,6.8e+08,s4_g003_p05.dat,22.37922,0.8500443,61.84385,1.7,22.003,summary_s4_g003_p05.tab,done,settlement_gt_2m,0,
stage4_s4_g003_p06,stage4,s4_g003_p06,g003,p06,1001.79,0.897283,5.8416,22.003,1.18095,1.05441,27.5362,0.704937,2,8e+08,s4_g003_p06.dat,0.9590079,0.1850162,65.34993,2,22.003,summary_s4_g003_p06.tab,done,ok,1,
stage4_s4_g003_p07,stage4,s4_g003_p07,g003,p07,1001.79,0.897283,5.8416,22.003,1.18095,1.05441,27.5362,0.704937,2.3,9.2e+08,s4_g003_p07.dat,0.8414042,0.1825486,65.242,2.3,22.003,summary_s4_g003_p07.tab,done,ok,1,
stage4_s4_g003_p08,stage4,s4_g003_p08,g003,p08,1001.79,0.897283,5.8416,22.003,1.18095,1.05441,27.5362,0.704937,2.6,1.04e+09,s4_g003_p08.dat,0.7836012,0.1833947,65.24983,2.6,22.003,summary_s4_g003_p08.tab,done,ok,1,
stage4_s4_g004_p01,stage4,s4_g004_p01,g004,p01,917.229,1.35674,4.12879,19.9735,1.38639,0.861366,33.7372,0.8504,0.5,2e+08,s4_g004_p01.dat,1.03239,0.2152132,67.39779,0.5,19.9735,summary_s4_g004_p01.tab,done,ok,1,
stage4_s4_g004_p02,stage4,s4_g004_p02,g004,p02,917.229,1.35674,4.12879,19.9735,1.38639,0.861366,33.7372,0.8504,0.8,3.2e+08,s4_g004_p02.dat,0.9215565,0.2193573,67.25369,0.8,19.9735,summary_s4_g004_p02.tab,done,ok,1,
stage4_s4_g004_p03,stage4,s4_g004_p03,g004,p03,917.229,1.35674,4.12879,19.9735,1.38639,0.861366,33.7372,0.8504,1.1,4.4e+08,s4_g004_p03.dat,0.8358297,0.2197604,66.66301,1.1,19.9735,summary_s4_g004_p03.tab,done,ok,1,
stage4_s4_g004_p04,stage4,s4_g004_p04,g004,p04,917.229,1.35674,4.12879,19.9735,1.38639,0.861366,33.7372,0.8504,1.4,5.6e+08,s4_g004_p04.dat,0.7733053,0.2195121,66.47905,1.4,19.9735,summary_s4_g004_p04.tab,done,ok,1,
stage4_s4_g004_p05,stage4,s4_g004_p05,g004,p05,917.229,1.35674,4.12879,19.9735,1.38639,0.861366,33.7372,0.8504,1.7,6.8e+08,s4_g004_p05.dat,0.7230964,0.2176901,66.10022,1.7,19.9735,summary_s4_g004_p05.tab,done,ok,1,
stage4_s4_g004_p06,stage4,s4_g004_p06,g004,p06,917.229,1.35674,4.12879,19.9735,1.38639,0.861366,33.7372,0.8504,2,8e+08,s4_g004_p06.dat,0.67959,0.2168291,65.85339,2,19.9735,summary_s4_g004_p06.tab,done,ok,1,
stage4_s4_g004_p07,stage4,s4_g004_p07,g004,p07,917.229,1.35674,4.12879,19.9735,1.38639,0.861366,33.7372,0.8504,2.3,9.2e+08,s4_g004_p07.dat,0.6450328,0.2170026,65.34583,2.3,19.9735,summary_s4_g004_p07.tab,done,ok,1,
stage4_s4_g004_p08,stage4,s4_g004_p08,g004,p08,917.229,1.35674,4.12879,19.9735,1.38639,0.861366,33.7372,0.8504,2.6,1.04e+09,s4_g004_p08.dat,0.606968,0.2163221,65.56738,2.6,19.9735,summary_s4_g004_p08.tab,done,ok,1,
stage4_s4_g005_p01,stage4,s4_g005_p01,g005,p01,860.684,1.17685,5.47242,18.6164,1.0576,1.1831,32.9772,0.815806,0.5,2e+08,s4_g005_p01.dat,0.7633523,0.1811741,64.29991,0.5,18.6164,summary_s4_g005_p01.tab,done,ok,1,
stage4_s4_g005_p02,stage4,s4_g005_p02,g005,p02,860.684,1.17685,5.47242,18.6164,1.0576,1.1831,32.9772,0.815806,0.8,3.2e+08,s4_g005_p02.dat,0.7018476,0.1809753,64.29925,0.8,18.6164,summary_s4_g005_p02.tab,done,ok,1,
stage4_s4_g005_p03,stage4,s4_g005_p03,g005,p03,860.684,1.17685,5.47242,18.6164,1.0576,1.1831,32.9772,0.815806,1.1,4.4e+08,s4_g005_p03.dat,0.6560401,0.180912,64.35357,1.1,18.6164,summary_s4_g005_p03.tab,done,ok,1,
stage4_s4_g005_p04,stage4,s4_g005_p04,g005,p04,860.684,1.17685,5.47242,18.6164,1.0576,1.1831,32.9772,0.815806,1.4,5.6e+08,s4_g005_p04.dat,0.6198818,0.1794753,64.26809,1.4,18.6164,summary_s4_g005_p04.tab,done,ok,1,
stage4_s4_g005_p05,stage4,s4_g005_p05,g005,p05,860.684,1.17685,5.47242,18.6164,1.0576,1.1831,32.9772,0.815806,1.7,6.8e+08,s4_g005_p05.dat,0.5852131,0.1788851,64.21877,1.7,18.6164,summary_s4_g005_p05.tab,done,ok,1,
stage4_s4_g005_p06,stage4,s4_g005_p06,g005,p06,860.684,1.17685,5.47242,18.6164,1.0576,1.1831,32.9772,0.815806,2,8e+08,s4_g005_p06.dat,0.5598934,0.1791411,63.82121,2,18.6164,summary_s4_g005_p06.tab,done,ok,1,
stage4_s4_g005_p07,stage4,s4_g005_p07,g005,p07,860.684,1.17685,5.47242,18.6164,1.0576,1.1831,32.9772,0.815806,2.3,9.2e+08,s4_g005_p07.dat,0.5314545,0.1772377,64.06994,2.3,18.6164,summary_s4_g005_p07.tab,done,ok,1,
stage4_s4_g005_p08,stage4,s4_g005_p08,g005,p08,860.684,1.17685,5.47242,18.6164,1.0576,1.1831,32.9772,0.815806,2.6,1.04e+09,s4_g005_p08.dat,0.5091201,0.1749062,64.10197,2.6,18.6164,summary_s4_g005_p08.tab,done,ok,1,
stage4_s4_g006_p01,stage4,s4_g006_p01,g006,p01,1056.23,1.0171,4.01925,23.3094,0.784455,0.689162,25.8165,0.734714,0.5,2e+08,s4_g006_p01.dat,119.0381,8.45763,65.81779,0.5,23.3094,summary_s4_g006_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g006_p02,stage4,s4_g006_p02,g006,p02,1056.23,1.0171,4.01925,23.3094,0.784455,0.689162,25.8165,0.734714,0.8,3.2e+08,s4_g006_p02.dat,68.81597,9.714259,70.65357,0.8,23.3094,summary_s4_g006_p02.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g006_p03,stage4,s4_g006_p03,g006,p03,1056.23,1.0171,4.01925,23.3094,0.784455,0.689162,25.8165,0.734714,1.1,4.4e+08,s4_g006_p03.dat,53.3653,8.164163,71.73464,1.1,23.3094,summary_s4_g006_p03.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g006_p04,stage4,s4_g006_p04,g006,p04,1056.23,1.0171,4.01925,23.3094,0.784455,0.689162,25.8165,0.734714,1.4,5.6e+08,s4_g006_p04.dat,40.55186,6.69523,70.69974,1.4,23.3094,summary_s4_g006_p04.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g006_p05,stage4,s4_g006_p05,g006,p05,1056.23,1.0171,4.01925,23.3094,0.784455,0.689162,25.8165,0.734714,1.7,6.8e+08,s4_g006_p05.dat,27.79411,5.020639,69.11783,1.7,23.3094,summary_s4_g006_p05.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g006_p06,stage4,s4_g006_p06,g006,p06,1056.23,1.0171,4.01925,23.3094,0.784455,0.689162,25.8165,0.734714,2,8e+08,s4_g006_p06.dat,23.50941,2.199161,62.13827,2,23.3094,summary_s4_g006_p06.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g006_p07,stage4,s4_g006_p07,g006,p07,1056.23,1.0171,4.01925,23.3094,0.784455,0.689162,25.8165,0.734714,2.3,9.2e+08,s4_g006_p07.dat,2.831885,0.5922259,67.87769,2.3,23.3094,summary_s4_g006_p07.tab,done,settlement_gt_2m,0,
stage4_s4_g006_p08,stage4,s4_g006_p08,g006,p08,1056.23,1.0171,4.01925,23.3094,0.784455,0.689162,25.8165,0.734714,2.6,1.04e+09,s4_g006_p08.dat,1.297638,0.2650058,63.93596,2.6,23.3094,summary_s4_g006_p08.tab,done,ok,1,
stage4_s4_g007_p01,stage4,s4_g007_p01,g007,p01,1119.94,0.959229,5.31584,24.8385,0.836676,0.673908,33.1111,0.885445,0.5,2e+08,s4_g007_p01.dat,82.09318,5.096157,66.18374,0.5,24.8385,summary_s4_g007_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g007_p02,stage4,s4_g007_p02,g007,p02,1119.94,0.959229,5.31584,24.8385,0.836676,0.673908,33.1111,0.885445,0.8,3.2e+08,s4_g007_p02.dat,73.09251,4.366144,67.83233,0.8,24.8385,summary_s4_g007_p02.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g007_p03,stage4,s4_g007_p03,g007,p03,1119.94,0.959229,5.31584,24.8385,0.836676,0.673908,33.1111,0.885445,1.1,4.4e+08,s4_g007_p03.dat,66.40311,4.037922,65.17074,1.1,24.8385,summary_s4_g007_p03.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g007_p04,stage4,s4_g007_p04,g007,p04,1119.94,0.959229,5.31584,24.8385,0.836676,0.673908,33.1111,0.885445,1.4,5.6e+08,s4_g007_p04.dat,60.95573,3.598569,66.9153,1.4,24.8385,summary_s4_g007_p04.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g007_p05,stage4,s4_g007_p05,g007,p05,1119.94,0.959229,5.31584,24.8385,0.836676,0.673908,33.1111,0.885445,1.7,6.8e+08,s4_g007_p05.dat,52.31439,3.105491,66.11009,1.7,24.8385,summary_s4_g007_p05.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g007_p06,stage4,s4_g007_p06,g007,p06,1119.94,0.959229,5.31584,24.8385,0.836676,0.673908,33.1111,0.885445,2,8e+08,s4_g007_p06.dat,44.27025,2.580755,65.82147,2,24.8385,summary_s4_g007_p06.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g007_p07,stage4,s4_g007_p07,g007,p07,1119.94,0.959229,5.31584,24.8385,0.836676,0.673908,33.1111,0.885445,2.3,9.2e+08,s4_g007_p07.dat,35.17922,2.009009,65.11061,2.3,24.8385,summary_s4_g007_p07.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage4_s4_g007_p08,stage4,s4_g007_p08,g007,p08,1119.94,0.959229,5.31584,24.8385,0.836676,0.673908,33.1111,0.885445,2.6,1.04e+09,s4_g007_p08.dat,1.520391,0.2752042,66.97481,2.6,24.8385,summary_s4_g007_p08.tab,done,ok,1,
stage4_s4_g008_p01,stage4,s4_g008_p01,g008,p01,1029.25,1.482,4.05387,22.662,0.659643,0.837042,39.2405,0.942501,0.5,2e+08,s4_g008_p01.dat,1.431744,0.2701358,71.3649,0.5,22.662,summary_s4_g008_p01.tab,done,ok,1,
stage4_s4_g008_p02,stage4,s4_g008_p02,g008,p02,1029.25,1.482,4.05387,22.662,0.659643,0.837042,39.2405,0.942501,0.8,3.2e+08,s4_g008_p02.dat,1.241944,0.268448,70.96048,0.8,22.662,summary_s4_g008_p02.tab,done,ok,1,
stage4_s4_g008_p03,stage4,s4_g008_p03,g008,p03,1029.25,1.482,4.05387,22.662,0.659643,0.837042,39.2405,0.942501,1.1,4.4e+08,s4_g008_p03.dat,1.154557,0.2646499,69.87605,1.1,22.662,summary_s4_g008_p03.tab,done,ok,1,
stage4_s4_g008_p04,stage4,s4_g008_p04,g008,p04,1029.25,1.482,4.05387,22.662,0.659643,0.837042,39.2405,0.942501,1.4,5.6e+08,s4_g008_p04.dat,1.071321,0.2631146,69.74667,1.4,22.662,summary_s4_g008_p04.tab,done,ok,1,
stage4_s4_g008_p05,stage4,s4_g008_p05,g008,p05,1029.25,1.482,4.05387,22.662,0.659643,0.837042,39.2405,0.942501,1.7,6.8e+08,s4_g008_p05.dat,1.012349,0.2635684,69.74966,1.7,22.662,summary_s4_g008_p05.tab,done,ok,1,
stage4_s4_g008_p06,stage4,s4_g008_p06,g008,p06,1029.25,1.482,4.05387,22.662,0.659643,0.837042,39.2405,0.942501,2,8e+08,s4_g008_p06.dat,0.9520448,0.2624735,70.48536,2,22.662,summary_s4_g008_p06.tab,done,ok,1,
stage4_s4_g008_p07,stage4,s4_g008_p07,g008,p07,1029.25,1.482,4.05387,22.662,0.659643,0.837042,39.2405,0.942501,2.3,9.2e+08,s4_g008_p07.dat,0.9132848,0.2616715,70.14145,2.3,22.662,summary_s4_g008_p07.tab,done,ok,1,
stage4_s4_g008_p08,stage4,s4_g008_p08,g008,p08,1029.25,1.482,4.05387,22.662,0.659643,0.837042,39.2405,0.942501,2.6,1.04e+09,s4_g008_p08.dat,0.8756552,0.2624036,69.7443,2.6,22.662,summary_s4_g008_p08.tab,done,ok,1,
stage4_s4_g009_p01,stage4,s4_g009_p01,g009,p01,1082.55,1.0547,3.29377,23.9411,1.15412,1.19435,31.0689,1.11462,0.5,2e+08,s4_g009_p01.dat,34.6571,0.7772003,75.04608,0.5,23.9411,summary_s4_g009_p01.tab,done,settlement_gt_2m,0,
stage4_s4_g009_p02,stage4,s4_g009_p02,g009,p02,1082.55,1.0547,3.29377,23.9411,1.15412,1.19435,31.0689,1.11462,0.8,3.2e+08,s4_g009_p02.dat,1.226376,0.2916596,78.49868,0.8,23.9411,summary_s4_g009_p02.tab,done,ok,1,
stage4_s4_g009_p03,stage4,s4_g009_p03,g009,p03,1082.55,1.0547,3.29377,23.9411,1.15412,1.19435,31.0689,1.11462,1.1,4.4e+08,s4_g009_p03.dat,1.025367,0.290393,78.14168,1.1,23.9411,summary_s4_g009_p03.tab,done,ok,1,
stage4_s4_g009_p04,stage4,s4_g009_p04,g009,p04,1082.55,1.0547,3.29377,23.9411,1.15412,1.19435,31.0689,1.11462,1.4,5.6e+08,s4_g009_p04.dat,0.9323487,0.2882063,77.98804,1.4,23.9411,summary_s4_g009_p04.tab,done,ok,1,
